United Kingdom,33 239,34 042,67 281,79.8,83.0,81.4,69.6,70.6,70.1,10,-,,4,3,-,6.3,-,,0.41,0,,,,
United Republic of Tanzania,31 418,32 171,63 588,65.4,69.3,67.3,57.6,59.3,58.5,238,64,ak,47,20,0.96,208,125.8,,0.99,32 876 354,,,,
United States of America,166 942,170 056,336 998,76.3,80.7,78.5,65.2,67.0,66.1,21,99,,6,3,-,2.6,-,,0.01,119,,,,
Uruguay,1 659,1 767,3 426,73.5,80.6,77.1,65.4,69.5,67.5,19,100,ak,6,4,0.27,32,-,,0.15,52,,,,
Uzbekistan,17 052,17 030,34 081,70.8,75.2,73.0,63.5,65.8,64.7,30,99,,14,8,0.11,62,-,,0.16,405 951,,,,
Vanuatu, 161, 159, 319,62.7,68.3,65.3,56.4,59.4,57.8,94,89,ak,23,10,-,34,1.8,,2.25,305 040,,,,
Venezuela (Bolivarian Republic of),13 957,14 243,28 200,69.9,78.2,73.9,61.9,67.1,64.4,259,99,ak,24,15,-,47,14.5,,0.15,7 995 796,,,,
Viet Nam,48 136,49 332,97 468,69.6,78.1,73.7,62.4,68.3,65.3,46,96,ak,21,11,0.06,173,<0.1,,0.64,8 820 515,,,,
Yemen,16 668,16 313,32 982,64.4,68.9,66.6,56.9,58.2,57.5,183,45,ak,62,28,0.04,48,46.1,,1.76,7 883 460,,,,
Zambia,9 609,9 864,19 473,59.5,65.4,62.5,52.5,56.3,54.4,135,80,ak,58,25,2.17,307,187.7,,1.32,13 185 586,,,,
Zimbabwe,7 544,8 450,15 994,57.5,63.6,60.7,51.2,54.8,53.1,357,86,,50,25,1.51,190,27.2,,2.74,8 147 168,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WHO region,2021,,,2019,,,2019,,,2020,2022,,2021,2021,2021,2021,2021,,2020,2021,,,,
African Region,579 641,583 017,1162 658,62.4,66.6,64.5,55.0,57.1,56.0,531,71,,72,27,0.78,212,229.4,,2.53,584 347 290,,,,
Region of the Americas,508 298,521 212,1029 510,74.5,79.8,77.2,64.8,67.5,66.2,68,97,,13,7,0.16,30,4.2,,0.07,61 656 500,,,,
South-East Asia Region,1049 022,1007 451,2056 473,69.9,73.1,71.4,61.1,61.9,61.5,117,91,,29,17,0.06,234,3.2,,0.38,856 840 517,,,,
European Region,451 859,478 950,930 809,75.1,81.3,78.2,66.6,70.0,68.3,13,99,,8,4,0.20,25,-,,0.26,5 951 752,,,,
Eastern Mediterranean Region,392 503,374 038,766 542,68.3,71.3,69.7,60.2,60.7,60.4,179,85,,45,25,0.06,112,11.6,,0.84,72 120 780,,,,
Western Pacific Region,980 226,952 584,1932 809,74.8,80.8,77.7,67.0,70.2,68.6,44,97,,12,6,0.06,98,1.9,,0.3,72 372 509,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Global, 3 973 370, 3 929 291, 7 902 660,70.8,75.9,73.3,62.5,64.9,63.7,223,86,,38,18,0.19,134,59.2,,0.94,1 653 289 348,,,,
